*?g(ᵂ)rentḫ-	'knüpfen'	IEW 386
*gres-	'fressen, verschlingen'	IEW 404
*gwel-	'verschlingen, schlucken'	IEW 365
*gwel-	'sich legen'	IEW 402
*(ģ)ʰan-	'gähnen, klaffend öffnen'	IEW 411
*gʰebʰ-	'fassen, nehmen; geben'	IEW 407-9
*gʰed-	'fassen'	IEW 437-8
*?gʰedʰ-	'(zusammen)treffen, sich vereinigen'	IEW 423-4
*?(ģ)ʰeHb-	'ergreifen, nehmen'	IEW 407-9
*gʰeħ-	'kommen, erreichen'	IEW 418-9, 1109
*?gʰeydʰ-	'wünschen, erwarten'	IEW 426-7
*?(ģ)ʰey(ģ)ʰ-	'lechzen'	IEW 427
*?gʰeldʰ-	'entgelten, büßen'	IEW 436
*gʰerdʰ-	'umschließen, umgürten'	IEW 444
*?g(ᵂ)ʰers-	'sich (er)freuen'	IEW 445-6
*g(ᵂ)ʰes-	'essen, fressen, verzehren'	IEW 452
*g(ᵂ)ʰes-	'lachen'	IEW –
*?g(ᵂ)ʰewģʰ-	'verbergen'	IEW 450
*?g(ᵂ)ʰews-	'(Geräusche) hören'	IEW 454
*gʰlendʰ-	'blicken, schauen; glänzen'	IEW 431
*gʰrebḫ-	'ergreifen'	IEW 455
*?gʰrebʰ-	'graben'	IEW 455-6
*?(ģ)ʰreħd-	'weinen'	IEW 439
*gʰreħw-	'stürzen, losstürzen'	IEW 460
*gʰrey-	'bestreichen, salben'	IEW 457
*?gʰreybʰ-	'greifen'	IEW 457-8
*?gʰreydʰ-	'schreiten'	IEW 456-7
*gʰrem-	'dröhnen, wüten'	IEW 458-9
*g(ᵂ)ʰrend-	'(zer)reiben'	IEW 459
*gᵂeḫ-	'den Fuß aufsetzen, treten'	IEW 463-4
*gᵂeḫbʰ-	'niederdrücken'	IEW 465-6
*gᵂeḫdʰ-	'eintauchen'	IEW 465
*gᵂey-	'(be)siegen, gewinnen'	IEW 469
*gᵂelH-	'quälen, stechen'	IEW 470-1
*gᵂelH-	'träufeln, quellen'	IEW 471-2
*gᵂelħ-	'treffen, werfen'	IEW 471-2
*?gᵂelḥ-	'wünschen, wollen'	IEW 472
*gᵂem-	'(wohin) gehen, kommen'	IEW 464-5
*gᵂerH-	'Zustimmung bekunden'	IEW 478
*gᵂerḥ-	'verschlingen'	IEW 474
*?gᵂet-	'sagen'	IEW 480-1
*gᵂģʰer-	'im Wasser dahintreiben, fließen'	IEW 487-8
*gᵂyeḥ-	'leben'	IEW 467-9
*?gᵂrem-	'brausen, tosen'	IEW 143, 383
*gᵂʰedʰ-	'bitten, wünschen'	IEW 488
*?gᵂʰel-	'verzehren, grasen'	IEW 365
*gᵂʰen-	'schlagen'	IEW 491-3
